Governor Demand (Design),Steam Flow (Design),Throttle Pressure (Design),Main Steam Temperature (Design),First Stage Pressure (Design),Generator MWG (Design)
0,139.3263414,14.73803755,869.2716675,14.7,0.000896593
0,138.6738926,14.73803755,867.2376709,14.7,0.000711023
0,138.6881341,14.73803755,867.2376709,14.7,0.000711023
0,138.9401669,14.73803755,865.1758423,14.7,0.000711023
0,137.9510752,14.73803755,865.1758423,14.7,0.000711023
0,138.4969838,14.73803755,863.1697388,14.7,0.000711023
0,139.6516503,16.33075292,863.1697388,14.7,0.000711023
0,139.0180206,19.52087183,863.1697388,14.7,0.000711023
0,139.5247141,20.53683014,863.1697388,14.7,0.000711023
0,138.8286675,21.57997341,863.1697388,14.7,0.000711023
0,138.9065806,22.09344311,863.1697388,14.7,0.000711023
0,139.0952894,22.09344311,863.1697388,14.7,0.000711023
0,138.443595,22.626579,863.1697388,14.7,0.000711023
0,139.0368822,23.13316269,863.1697388,14.7,0.000711023
0,138.6832174,23.13316269,863.1697388,14.7,0.000711023
0,139.0416209,23.65086193,863.1697388,14.7,0.000711023
0,138.7538232,24.19859619,863.1697388,14.7,0.000711023
0,139.20411,29.12851925,861.1636353,14.7,0.000711023
0,138.5686747,99.12651367,867.5441895,14.7,0.000711023
0,139.133945,120.7501633,869.5561523,14.7,0.000711023
0,138.8308801,135.6384003,869.5561523,14.7,0.000711023
0,138.958647,147.9389374,869.5561523,14.7,0.000711023
0,138.8948568,160.9378082,869.5561523,14.7,0.000711023
0,138.5767873,173.3265411,871.5622559,14.7,0.000711023
0,132.1714613,185.8503296,871.5622559,14.7,0.000711023
0,130.6176673,198.2567322,871.5622559,14.7,0.000711023
0,129.8262956,211.4409821,871.5622559,14.7,0.000711023
0,129.8353407,224.1064178,871.5622559,14.7,0.000711023
0,130.4115211,236.8803894,871.5622559,14.7,0.000711023
0,132.0276727,249.3371155,871.5622559,14.7,0.000711023
0,132.4349891,261.2370789,871.5622559,14.7,0.000711023
0,132.5031789,272.0601074,871.5622559,14.7,0.000711023
0,133.0900659,282.362323,871.5622559,14.7,0.000711023
0,132.7090539,293.099231,871.5622559,14.7,0.000711023
0,133.6473338,303.7392761,871.5622559,14.7,0.000711023
0,133.7784746,314.1913635,872.6413574,14.7,0.000711023
0,133.8245901,324.1109497,872.6413574,14.7,0.000711023
0,133.9451599,324.1962769,872.6413574,14.7,0.000711023
0,135.1306491,278.9727966,859.0643921,14.7,0.000711023
0,134.7340139,273.502002,854.99646,14.7,0.000711023
0,114.4707489,272.2492859,852.9346924,14.7,0.000711023
0,126.0542043,269.425174,850.8471069,14.7,0.000711023
0,128.3004761,274.3951294,846.6677246,14.7,0.000711023
0,127.9070197,288.8257629,844.6594849,14.7,0.000711023
0,116.1022441,325.3631165,838.4961548,14.7,0.000711023
0,116.389601,357.7917664,832.4000244,14.7,0.000711023
0,117.6875899,390.288562,826.1530762,14.7,0.000711023
0,113.2404243,400.2875549,820.0790405,14.7,0.000711023
0,122.1506246,405.860675,815.9532471,14.7,0.000711023
0,123.3442603,418.4738037,811.94104,14.7,0.000711023
0,118.9904361,470.3184692,803.6659546,14.7,0.000711023
0,116.0289764,516.3488953,795.2546997,14.7,0.000711023
0,123.9822727,580.6196167,787.0157471,14.7,0.000711023
0,128.9293671,631.3600952,778.72229,14.7,0.000711023
0,123.6172401,694.4627563,772.5800781,14.7,0.000711023
0,111.5474023,743.8863403,766.4944458,14.7,0.000711023
0,116.8571811,809.8014404,762.4830933,14.7,0.000711023
0,143.3165317,935.1471436,756.3408203,14.7,0.000711023
0,143.0659485,916.0668213,752.208313,14.7,0.000711023
0,130.3933038,914.5931885,752.208313,14.7,0.000711023
0,129.2642636,914.0693848,750.1622925,14.7,0.000711023
0,128.5656908,914.8643066,750.1622925,14.7,0.000466182
0,129.1060554,911.960498,750.1622925,14.7,0.000466182
0,128.614841,913.6179077,748.1526489,14.7,0.000466182
0,128.2925754,912.8417847,748.1526489,14.7,0.000466182
0,127.8229862,913.7736084,748.1526489,14.7,0.000466182
0,129.8934767,914.7415649,748.1526489,14.7,0.000466182
0,126.6241794,917.3553345,748.1526489,14.7,0.000466182
0,128.5127343,914.2077515,748.1526489,14.7,0.000466182
0,128.0974409,911.9175293,748.1526489,14.7,0.000466182
0,128.3137004,910.6976807,750.1622925,14.7,0.000466182
0,128.1515588,910.8956177,752.208313,14.7,0.000466182
0,128.2903544,912.7612183,752.208313,14.7,0.000466182
0,128.3109283,913.3248169,754.2179565,14.7,0.000466182
0,128.6312442,910.6326782,756.3045044,14.7,0.000466182
0,128.3394877,912.7473022,758.31427,14.7,0.000466182
0,128.0417803,914.7250854,760.3804932,14.7,0.000466182
0,128.1553819,911.01604,762.3922729,14.7,0.000466182
0,128.0880483,911.8626587,764.3998413,14.7,0.000466182
0,128.3707513,911.4125854,766.4661865,14.7,0.000466182
0,128.2007684,911.5171387,766.4661865,14.7,0.000466182
0,128.110199,910.85448,768.5687256,14.7,0.000466182
0,128.4163496,910.3434937,770.5987549,14.7,0.000466182
0,128.4006246,910.6351196,772.6083984,14.7,0.000466182
0,127.9474979,911.5724365,774.6544189,14.7,0.000466182
0,128.2333628,911.5897095,776.6560669,14.7,0.000466182
0,128.2227749,910.1373169,778.7020264,14.7,0.000466182
0,131.8072764,873.4714844,780.7319946,14.7,0.000466182
0,125.6940969,928.307666,782.7496948,14.7,0.000466182
0,128.2190111,916.9810669,782.7496948,14.7,0.000466182
0,128.6053636,912.2270386,780.7319946,14.7,0.000466182
0,129.1918437,909.4058105,778.6940308,14.7,0.000466182
0,128.4024641,911.224353,776.6923828,14.7,0.000466182
0,128.0443149,911.1708862,772.6730347,14.7,0.000466182
0,128.2225376,910.9362671,768.6536865,14.7,0.000466182
0,128.4154256,910.9435913,766.607666,14.7,0.000466182
0,127.9878744,910.9011108,762.5903931,14.7,0.000466182
0,127.9757606,910.9702026,758.4295654,14.7,0.000466182
0,127.5120799,914.3635742,754.3231812,14.7,0.000466182
0,128.3018494,913.8742554,752.2307129,14.7,0.000466182
0,128.063524,913.3621704,752.2307129,14.7,0.000466182
0,127.860828,913.2158081,752.2307129,14.7,0.000466182
0,128.2322693,912.3044312,752.2307129,14.7,0.000466182
0,128.0228,913.4580566,754.2382813,14.7,0.000466182
0,128.6667124,913.2076294,756.250061,14.7,0.000466182
0,128.3434126,914.4252197,758.2576294,14.7,0.000466182
0,128.021503,913.5080444,758.2576294,14.7,0.000466182
0,128.2813856,912.9178345,760.3238525,14.7,0.000466182
0,127.9708269,912.4732544,762.418457,14.7,0.000466182
0,128.6482408,910.2962524,764.4564819,14.7,0
0,128.0509949,911.1888306,766.5248413,14.7,0
0,127.821028,912.668689,768.5628662,14.7,0
0,128.4920248,918.2820313,772.6954346,14.7,0
0,128.2894982,909.4144775,776.7350464,22.33406372,0
0,128.2057783,905.1526367,780.8190308,18.537641,0
0,128.2588704,904.3938477,789.3388672,58.35960693,0
19.95898438,128.4974755,915.3992188,793.5767212,50.85786743,0
20.59375,127.6025984,908.1005127,795.8029175,50.59134979,0
20.59375,128.5614014,907.4383423,799.90448,50.84497757,0
21.09765625,128.4015656,911.3196899,801.9047852,57.61465759,0.928033054
25.27148438,128.2158915,808.9755737,803.9187012,137.9182922,19.60943031
25.79101563,127.5593736,899.455249,812.7490845,154.254184,24.52575493
25.79101563,128.3381314,896.9382813,816.8190918,155.9626038,25.59717369
25.79101563,128.7738885,895.7543213,818.8251953,157.0866882,25.59717369
25.79101563,127.8940667,896.9218018,822.8374634,158.8427612,26.76808548
25.79101563,128.0722385,896.1472656,824.8435669,162.7781708,27.37417984
25.79101563,134.5294953,899.4674561,826.8496094,164.1593201,27.89471245
25.79101563,131.4835951,895.2153198,831.0010986,164.4753448,27.89471245
25.79101563,129.2589061,894.4389526,837.1029663,165.0224792,28.05990028
25.79101563,128.6338721,898.1771729,841.218689,166.0129272,28.63142014
25.79101563,128.1536441,897.9024536,845.2667236,166.9172852,29.13494682
25.79101563,127.9932234,896.8986084,849.3903809,166.88396,29.08066559
25.79101563,128.7991757,896.009082,853.4303589,166.8380005,28.88716507
25.79101563,128.3363258,895.5953247,857.5182495,167.2114594,28.99105835
25.79101563,127.9336972,895.7211792,861.5662231,166.410083,28.99105835
25.79101563,128.3229319,893.9640991,865.6540527,166.4161102,29.00143623
25.79101563,128.4116618,893.0271484,869.7498779,166.5053131,29.48379135
25.79101563,129.6174537,893.9109985,873.8456421,166.5507538,29.08663177
25.79101563,127.7813297,893.1086304,877.9971313,166.4209167,29.10756683
25.79101563,127.514445,896.1165649,882.0671997,166.9037811,29.18130493
25.79101563,128.2972802,893.3466064,886.1351318,167.1288483,29.34194183
25.79101563,129.2771827,1418.676074,898.9519043,255.7627594,52.70020676
25.79101563,191.4995321,1690.043384,905.1015625,296.522113,63.53623199
25.79101563,243.0759684,2344.455859,915.362915,425.3161499,94.97621155
26.29296875,344.8661633,2650.042285,913.1538696,519.8190491,121.334053
26.80664063,317.3472086,2844.963184,911.0999756,604.4111816,149.7358704
26.80664063,326.1822511,2934.706104,928.0124512,604.684436,149.6255798
27.32421875,331.9388833,3030.593066,940.4033813,652.1505005,163.4986725
27.828125,325.5422294,3069.816455,940.793396,680.88396,173.0233459
27.828125,345.6398519,3086.241748,936.7612915,710.8891479,181.2869873
27.828125,386.3983156,3300.062793,940.793396,753.6607544,193.5831146
28.33203125,414.8517864,3385.162158,953.6381226,807.2067139,206.9809723
28.33203125,410.2300347,3524.531543,966.0925293,826.1208374,213.8261719
28.83203125,445.2360706,3528.380664,976.3817749,876.1943237,227.6878967
29.83398438,470.5273439,3516.564014,984.6848145,932.8005249,239.8139648
30.8359375,474.2375692,3538.642627,990.8065796,959.4514648,247.4969177
31.84570313,494.9498156,3535.322314,992.8126831,999.0876953,260.5350952
34.3828125,525.4708522,3531.657031,1003.010315,1059.84917,275.8513794
35.38476563,544.2876181,3518.143848,1000.996338,1091.228198,284.01651
36.38476563,560.8550686,3514.442432,1000.996338,1115.633716,298.3683167
36.38476563,556.0606892,3518.914111,998.9703369,1122.397021,299.2134705
36.38476563,556.5571425,3515.989795,996.9085083,1129.074878,301.8010559
36.38476563,555.2123344,3520.536914,998.9703369,1127.066333,301.2711487
37.39257813,574.5742458,3492.603564,1001.004211,1144.133838,303.2546387
38.90039063,598.1553142,3536.185107,1005.04425,1199.461841,320.8904114
41.41210938,653.1364611,3541.988574,1005.04425,1275.121753,339.6762695
42.91992188,673.3001708,3561.41167,998.8508911,1328.701587,356.3581848
44.93945313,691.8851047,3561.613574,996.7911987,1391.396533,375.0207214
47.45507813,742.5337728,3501.862354,1002.918823,1436.246753,386.3031311
48.45898438,752.4471706,3537.431689,980.9373779,1502.00603,406.9269104
47.45117188,764.8177761,3505.296924,959.0575562,1491.956348,407.6718445
46.95117188,757.5413006,3512.017871,959.0575562,1475.203906,402.9749756
46.95117188,745.3066678,3530.444385,970.0430908,1459.335742,397.6392212
48.984375,748.3059353,3587.268359,971.7628174,1551.222705,422.4105835
49.98828125,782.3851183,3480.877734,956.8005981,1547.09856,421.4572449
51.4921875,761.9475639,3511.217578,987.234314,1540.5125,421.961853
51.99414063,791.5707058,3520.809375,1000.686035,1543.952441,423.6080627
51.99414063,796.7542183,3502.038867,998.6500854,1550.716846,426.5815125
51.99414063,775.3915067,3509.582813,996.6239624,1557.664966,429.177948
51.99414063,789.6840414,3507.004932,998.6500854,1551.952075,428.8954468
53.50195313,806.2925889,3502.479541,998.6500854,1590.615283,439.6480408
54.50585938,821.8326822,3499.151172,998.6500854,1624.115649,446.2996521
55.5078125,844.5168728,3491.634326,998.6500854,1655.920093,453.3065491
59.04296875,889.0799967,3484.200488,998.6500854,1751.353564,471.2467041
62.05664063,946.2744819,3459.338184,998.6500854,1816.606372,486.8811951
66.078125,997.7438694,3475.631641,1000.797546,1937.889575,519.1292725
69.08789063,1037.474908,3471.201465,998.7556763,2024.038135,542.5064697
70.09375,1029.789429,3495.472461,998.7556763,2068.830371,559.6798706
72.6015625,1090.006171,3477.331348,1002.912964,2121.899463,567.5366821
75.11132813,1128.444349,3472.323535,996.8410645,2198.178516,588.1842651
78.12109375,1163.869222,3479.826221,998.9029541,2270.99541,609.7091064
81.63671875,1210.920953,3500.645801,998.9029541,2370.775684,635.2559204
84.6484375,1248.312039,3497.39043,998.9029541,2453.386768,659.0432739
86.65625,1284.185384,3489.881885,998.9029541,2509.625781,673.2354126
89.65820313,1315.496013,3498.091113,998.9029541,2584.349658,693.9483032
92.16992188,1350.583903,3492.440234,998.9029541,2654.89043,714.5438843
95.18359375,1396.565755,3495.198047,998.9029541,2730.294238,731.7820435
97.6953125,1434.540744,3495.031299,996.8968506,2816.682666,756.4841309
98.19726563,1448.057726,3496.368945,998.9307861,2830.580127,757.8742065
